,reaction,mean flux,sd
70,ALAtm_f,0.4648939116328712,0.2628170548507832
71,PEPtm_f,0.4876890902149837,0.2802252039245114
72,CO2tm_f,0.5019948102826464,0.2833489109157857
73,AKGtm_f,0.4577721606105897,0.262581348568894
74,ALDh_b,0.4261366311459998,0.24749546311713486
75,FBAh_b,0.42392862396240727,0.24627999267742492
76,TKT1h_b,0.41871589926500236,0.24550188660397285
77,TKT2h_b,0.41689659089649167,0.2449317642889531
78,TAh_b,0.500730368251985,0.27027414968419955
79,RPEh_b,0.3348604412023312,0.2000389895214466
80,RPIh_b,0.42016118424737264,0.24239521217998428
81,PGIAh_b,0.49042720212066027,0.284805337441501
82,PGMTh_b,0.4833140759819857,0.2837949442043329
83,ALT_b,0.520135506112028,0.2665380371822708
84,ASPTc_b,0.41449625644990545,0.24672399764830136
85,GLUDHc_b,0.5353835517329237,0.2670257722051677
86,T_T3P_b,0.5035359125576718,0.2899211104667252
87,T_TP_b,0.5062058915509472,0.28679676308732405
88,T_PEP_b,0.45663006216102153,0.2689586091799371
89,CO2th_b,0.2588868064154748,0.15780480458072163
90,ENO_h_b,0.42377867038993866,0.250563578733138
91,ACONTm_b,0.49586472296518586,0.2874617889707196
92,SUCOASm_b,0.5030438610934574,0.2898105042276036
93,SUCDm_b,0.511024610753814,0.28665714285287425
94,FUMm_b,0.5029621316954066,0.28744435344342345
95,AATm_b,0.5409874111849561,0.26790437871238143
96,PYRtm_b,0.4749808267106673,0.2654200116339395
97,MALtm_b,0.5051393653694426,0.28863972772041374
98,OAAtm_b,0.577424836030091,0.25609126721358283
99,ASPtm_b,0.42603975496168095,0.2577860743565295
100,GLUtm_b,0.5374570901809512,0.26299168543402546
101,ALAtm_b,0.539600668637205,0.2654380948230702
102,PEPtm_b,0.4628124654449292,0.2806878825429071
103,CO2tm_b,0.4981902958610158,0.28334693791300375
104,AKGtm_b,0.5352145310958342,0.2614122442518302
