Light;Alga;Labeling time (sec);ADPG-0;ADPG-1;ADPG-2;ADPG-3;ADPG-4;ADPG-5;ADPG-6;glut-0;glut-1;glut-2;glut-3;glut-4;glut-5;2PG-0;2PG-1;2PG-2;FBP-0;FBP-1;FBP-2;FBP-3;FBP-4;FBP-5;FBP-6;SBP-0;SBP-1;SBP-2;SBP-3;SBP-4;SBP-5;SBP-6;SBP-7;DHAP-0;DHAP-1;DHAP-2;DHAP-3;malate-0;malate-1;malate-2;malate-3;malate-4;asp-0;asp-1;asp-2;asp-3;asp-4;G6P-0;G6P-1;G6P-2;G6P-3;G6P-4;G6P-5;G6P-6;f6p-0;f6p-1;f6p-2;f6p-3;f6p-4;f6p-5;f6p-6;g1p-0;g1p-1;g1p-2;g1p-3;g1p-4;g1p-5;g1p-6;2-OG-0;2-OG-1;2-OG-2;2-OG-3;2-OG-4;2-OG-5;R5P-0;R5P-1;R5P-2;R5P-3;R5P-4;R5P-5;PP-0;PP-1;PP-2;PP-3;PP-4;PP-5;succ-0;succ-1;succ-2;succ-3;succ-4;RuBP-0;RuBP-1;RuBP-2;RuBP-3;RuBP-4;RuBP-5;UDPG-0;UDPG-1;UDPG-2;UDPG-3;UDPG-4;UDPG-5;UDPG-6;S7P-0;S7P-1;S7P-2;S7P-3;S7P-4;S7P-5;S7P-6;S7P-7;3PGA-0;3PGA-1;3PGA-2;3PGA-3;PEP-0;PEP-1;PEP-2;PEP-3;
100 uE;Sorokiniana;20;25.75;8.89;4.71;0.37;0.00;0.00;0.00;2489.49;12.00;0.00;0.00;0.00;0.00;4.47;0.11;0.00;128.57;89.16;30.46;3.10;0.53;0.74;0.00;36.01;15.43;6.69;5.02;0.00;1.11;0.00;0.00;81.34;48.13;2.29;0.00;3216.70;56.54;10.11;0.19;0.00;2381.44;105.53;0.00;0.00;0.00;445.61;175.60;86.23;7.68;4.23;0.00;0.00;137.40;78.30;9.91;8.85;1.85;0.05;0.00;112.19;59.09;24.67;3.81;0.38;0.01;0.05;46.24;1.28;0.02;0.01;0.00;0.00;38.72;13.96;3.74;0.00;0.89;0.18;121.34;53.45;9.34;1.21;0.31;0.00;45.42;0.00;0.00;0.00;0.00;3321.49;1441.86;326.71;80.62;0.00;0.88;156.33;16.87;5.55;0.00;0.47;0.00;0.00;45.93;81.51;55.25;20.62;2.06;0.28;1.00;0.00;70465200.00;16388760.00;648688.00;119952.40;5574320.00;3786224.00;173135.60;53664.80;
100 uE;Sorokiniana;40;12.02;4.76;6.87;1.34;1.51;0.00;0.06;1535.80;19.02;0.00;0.00;0.00;0.00;8.44;1.89;1.26;36.79;53.03;45.17;16.84;7.99;0.98;0.29;12.85;10.06;7.05;5.36;4.52;0.43;1.02;0.00;30.30;40.88;7.38;5.53;1738.48;54.10;16.08;3.37;1.72;1395.66;58.99;0.00;2.20;0.00;226.95;112.49;136.10;33.20;20.92;3.46;0.97;55.58;46.55;61.79;18.41;11.41;1.58;1.23;48.95;34.53;33.74;11.28;7.14;1.18;0.50;23.12;0.19;0.09;0.02;0.00;0.00;13.85;8.61;6.66;1.18;0.00;0.00;25.18;34.06;14.06;11.18;2.43;0.03;76.13;0.22;0.00;0.00;0.00;1052.09;1370.18;679.41;469.21;80.37;33.04;85.03;29.76;16.53;5.44;1.11;0.45;0.54;12.59;26.82;37.12;31.85;16.70;4.44;0.46;0.81;41683200.00;15227400.00;3163392.00;2138864.00;1192276.00;1604644.00;397991.20;235721.60;
100 uE;Sorokiniana;40;24.09;11.84;9.83;2.99;1.43;0.00;0.00;2034.42;0.00;0.00;0.00;0.15;0.00;5.01;1.01;1.00;45.40;57.01;33.46;11.19;3.91;0.83;0.42;12.74;11.66;9.48;8.12;0.69;0.58;0.00;0.90;36.96;54.93;10.60;3.25;1794.82;54.11;14.35;0.00;0.32;1868.08;108.70;10.28;0.00;0.00;255.79;98.32;104.67;27.82;15.26;2.56;0.48;54.77;36.39;45.15;13.70;8.01;0.79;0.62;77.52;0.00;43.37;13.05;6.06;1.20;0.12;70.84;2.34;0.00;0.00;0.00;0.00;25.18;14.82;6.30;3.72;1.83;0.09;43.67;39.72;16.01;8.33;2.43;0.06;87.95;0.00;0.00;0.00;0.00;951.10;771.00;313.09;181.35;29.20;7.77;85.16;29.42;18.30;4.24;2.04;0.00;0.01;24.31;51.48;52.98;37.32;16.23;5.82;1.06;0.89;34675300.00;10942100.00;2408776.00;1322720.00;942478.00;1052816.00;240669.40;122037.62;
100 uE;Sorokiniana;40;28.62;8.46;6.48;2.17;0.46;0.66;0.00;2674.47;0.00;0.00;0.00;0.00;0.00;6.88;2.18;1.38;38.47;48.50;29.87;8.04;4.69;1.35;0.00;21.55;17.69;19.24;8.19;2.39;0.77;0.00;0.00;35.79;30.37;11.64;2.47;1745.62;65.18;16.19;1.97;0.17;1905.93;96.14;0.00;2.10;1.03;284.63;84.15;73.24;22.45;9.59;1.67;0.00;53.96;26.22;28.51;8.98;4.60;0.00;0.00;83.08;40.37;29.09;10.20;2.79;0.44;0.00;58.89;3.04;0.00;0.00;0.00;0.00;9.38;12.19;2.76;1.95;1.49;0.00;23.13;25.91;14.59;3.90;0.71;0.00;35.54;0.00;0.40;0.00;0.00;866.61;986.36;557.87;216.55;33.82;3.84;109.63;26.50;11.51;2.34;0.74;0.00;0.00;3.48;2.85;3.10;1.32;0.39;0.12;0.00;0.00;27667400.00;6656800.00;1654160.00;506576.00;692680.00;500988.00;83347.60;8353.64;
100 uE;Ohadii;0;11.01;0.00;0.00;0.00;0.00;0.00;0.00;1970.72;8.49;0.00;0.00;0.00;0.00;2.47;0.00;0.00;87.30;0.07;0.00;0.00;0.00;0.00;0.14;69.13;2.15;0.00;0.00;0.00;0.00;0.00;0.00;93.86;0.33;0.00;0.00;625.16;0.36;0.00;0.00;0.00;1063.37;10.69;0.00;0.00;0.00;329.19;0.00;0.00;0.00;0.00;0.00;0.00;73.79;1.36;0.00;0.00;0.00;0.00;0.00;77.12;0.24;0.00;0.00;0.00;0.00;0.00;43.70;0.05;0.00;0.00;0.00;0.00;31.75;0.00;0.00;0.14;0.00;0.00;39.08;0.00;0.48;0.00;0.00;0.00;115.29;1.16;0.00;0.00;0.00;351.06;3.07;0.00;1.58;0.12;0.00;295.98;0.00;0.00;0.00;0.00;0.00;0.00;72.14;0.00;0.00;0.24;0.00;0.00;0.00;0.00;48532400.00;0.00;0.00;0.00;4613680.00;0.00;0.00;0.00;
100 uE;Ohadii;0;23.65;0.00;0.55;0.00;0.00;0.00;0.00;1935.29;5.16;0.00;2.27;0.00;0.00;4.54;0.00;0.00;126.18;0.84;0.08;0.00;0.00;0.00;0.00;99.44;4.88;0.00;0.00;0.00;0.00;0.00;0.00;92.34;0.00;0.00;0.00;293.04;0.00;0.00;0.00;0.00;667.09;17.18;0.00;0.00;0.00;227.74;0.00;0.05;0.08;0.00;0.00;0.00;48.05;0.27;0.57;0.00;0.00;0.00;0.00;65.82;0.00;0.00;0.00;0.00;0.00;0.00;57.49;0.05;0.00;0.00;0.00;0.00;32.56;0.00;0.00;0.00;0.00;0.00;34.98;0.00;0.00;0.00;0.00;0.00;76.94;0.00;0.00;0.00;0.00;433.37;3.42;0.00;0.00;0.00;0.00;305.37;0.00;0.00;0.00;0.00;0.00;0.00;16.05;0.79;0.00;0.00;0.00;0.00;0.00;0.00;11462440.00;107422.80;0.00;0.00;914628.00;0.00;0.00;0.00;
100 uE;Ohadii;0;11.50;0.01;0.16;0.00;0.00;0.00;0.00;2290.25;0.00;0.00;0.00;0.00;0.00;1.90;0.00;0.00;108.47;0.00;0.00;0.09;0.00;0.00;0.00;104.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;127.78;0.00;0.00;0.00;666.83;2.80;0.00;0.15;0.00;1277.25;19.89;0.00;0.00;0.00;393.14;0.00;0.00;0.00;0.00;0.00;0.00;107.82;0.00;0.00;0.00;0.00;0.00;0.00;79.79;0.00;0.00;0.00;0.00;0.00;0.00;33.10;0.37;0.05;0.00;0.04;0.00;27.92;0.37;0.00;0.12;0.00;0.00;51.48;0.20;0.00;0.00;0.00;0.00;87.15;0.00;0.00;0.00;0.00;433.14;1.76;0.00;0.00;0.00;0.00;296.52;0.00;0.00;0.00;0.00;0.00;0.00;85.88;0.00;0.00;0.01;0.00;0.00;0.00;0.00;46859600.00;88600.40;0.00;0.00;5202960.00;0.00;0.00;0.00;
100 uE;Ohadii;5;19.38;1.43;0.23;0.20;0.00;0.00;0.00;1788.56;11.51;0.00;0.00;0.00;1.63;3.35;0.12;0.00;47.28;23.32;2.94;0.15;0.00;0.00;0.00;46.38;9.29;11.77;0.00;0.00;0.00;0.00;0.00;45.40;13.81;4.28;0.00;485.69;17.03;0.00;0.06;0.20;1028.24;65.12;0.00;0.00;0.00;182.27;17.87;10.09;0.95;0.93;0.00;0.00;33.85;8.16;5.21;0.00;0.00;0.00;0.00;41.95;5.82;1.67;0.00;0.09;0.00;0.00;62.20;0.00;0.00;0.00;0.00;0.00;24.68;3.27;0.00;0.00;0.00;0.00;14.19;7.80;0.59;0.00;0.00;0.00;63.30;0.63;0.00;0.00;0.00;589.39;114.74;9.50;3.89;0.16;0.00;303.26;0.00;0.00;0.19;0.00;0.00;0.00;7.48;1.50;1.90;0.00;0.00;0.00;0.00;0.00;13192440.00;3371528.00;5551.12;7607.20;1586880.00;333562.00;0.00;0.00;
100 uE;Ohadii;5;15.86;1.19;0.27;0.01;0.00;0.00;0.00;1519.06;8.29;0.00;0.00;0.00;0.00;4.85;0.00;0.08;31.20;21.64;3.66;0.00;0.01;0.10;0.00;24.93;18.63;5.71;3.66;0.00;0.00;0.00;0.00;75.85;27.54;0.27;0.06;774.73;16.10;0.00;0.00;0.06;1430.32;38.59;0.00;0.00;0.00;262.13;29.43;0.00;0.40;0.60;0.00;0.00;72.00;13.68;13.53;0.00;0.00;0.00;0.00;67.26;8.65;2.07;0.00;0.00;0.00;0.00;68.70;0.69;0.01;0.00;0.17;0.00;46.09;2.47;1.37;0.28;0.00;0.00;59.98;6.84;0.00;0.00;0.00;0.00;143.05;0.51;0.00;0.02;0.00;545.85;120.48;14.36;0.15;0.39;0.34;275.37;3.44;0.00;0.00;0.00;0.00;0.00;26.02;21.75;11.66;1.39;0.69;0.06;0.21;0.00;30813480.00;8527040.00;0.00;0.00;6057080.00;1571360.00;0.00;0.00;
100 uE;Ohadii;5;13.01;1.07;0.84;0.00;0.00;0.00;0.00;1213.51;0.00;0.00;0.00;0.00;0.00;2.33;0.06;0.12;43.61;24.42;2.72;0.00;0.00;0.16;0.15;20.77;12.36;4.80;2.06;0.00;0.00;0.78;0.56;78.01;22.39;0.08;0.00;449.38;10.65;0.00;0.30;0.00;1013.42;34.86;0.00;0.00;0.00;221.15;30.89;10.46;0.00;0.14;0.00;0.00;63.19;15.64;12.26;0.00;0.00;0.00;0.00;49.11;9.25;1.33;0.08;0.00;0.00;0.00;26.45;0.00;0.00;0.04;0.00;0.00;15.42;3.01;0.12;0.00;0.00;0.00;27.58;6.89;0.00;0.73;0.00;0.00;106.78;0.92;0.32;0.00;0.00;418.43;99.95;12.35;0.34;0.13;0.00;262.03;3.03;0.00;0.00;0.00;0.00;0.00;27.63;22.65;8.44;1.59;0.84;0.20;0.05;0.00;23470280.00;5382680.00;0.00;0.00;4909280.00;1383932.00;0.00;0.00;
100 uE;Ohadii;10;9.56;1.69;0.32;0.05;0.00;0.00;0.00;833.58;4.26;0.00;0.00;0.00;0.00;5.16;0.23;0.14;20.60;16.79;9.99;1.11;0.49;0.05;0.36;10.70;9.77;11.45;9.10;1.95;0.00;0.00;0.00;33.81;27.79;4.09;1.29;289.65;9.60;0.00;0.00;0.00;667.78;18.20;0.00;0.00;0.00;162.55;34.82;39.81;0.27;1.59;0.00;0.00;44.73;16.97;32.46;2.20;1.07;0.00;0.00;46.58;12.76;7.74;0.95;0.20;0.00;0.00;29.89;1.50;0.00;0.10;0.09;0.00;12.41;4.29;3.28;0.00;1.34;0.09;10.05;7.06;3.91;0.00;0.00;0.00;94.02;0.00;0.45;0.00;0.00;239.35;145.12;57.31;16.72;2.33;0.00;226.24;5.70;0.00;0.00;0.09;0.00;0.00;14.10;29.35;27.63;13.52;1.47;0.43;0.07;0.00;18034960.00;7183720.00;632836.00;139219.20;2498876.00;1189228.00;20189.96;15348.68;
100 uE;Ohadii;10;7.95;1.87;0.52;0.27;0.45;0.00;0.00;875.41;4.65;0.00;0.00;0.00;0.00;2.06;0.14;0.03;18.25;16.07;5.98;0.94;0.20;0.00;0.00;15.42;13.58;6.31;2.29;0.38;0.00;0.00;0.00;41.62;31.14;4.32;0.00;242.61;8.90;0.00;0.00;0.00;746.65;26.59;0.00;0.00;0.00;158.33;37.29;32.31;0.52;2.10;0.05;0.00;37.28;16.49;14.94;1.44;0.65;0.00;0.00;52.17;11.78;4.62;1.52;0.26;0.00;0.00;25.89;1.84;0.00;0.09;0.00;0.00;19.32;3.22;1.02;0.07;2.79;0.00;19.85;12.93;3.06;0.00;0.00;0.00;85.98;0.00;0.17;0.00;0.00;250.10;146.17;42.27;8.02;2.01;0.77;170.90;5.56;0.00;0.00;0.14;0.00;0.00;14.47;25.58;18.83;8.71;0.53;0.51;0.07;0.49;12725920.00;5528480.00;428312.00;124065.60;1871516.00;859936.00;42803.60;44826.80;
100 uE;Ohadii;10;8.96;1.70;1.50;0.00;0.00;0.00;0.00;867.67;4.25;0.00;0.00;0.00;0.00;3.04;0.09;0.15;18.67;18.07;7.14;0.85;0.23;0.00;0.17;22.67;13.94;8.02;2.30;2.33;0.00;0.00;0.00;42.25;24.44;4.29;0.21;268.11;10.77;0.28;0.00;0.46;665.84;24.94;0.00;0.00;0.00;151.76;41.28;50.65;0.76;0.26;0.04;0.00;42.16;16.14;22.91;0.00;0.35;0.09;0.00;40.61;9.95;5.80;0.26;0.26;0.01;0.00;22.08;0.70;0.37;0.00;0.00;0.00;17.91;4.12;1.39;0.03;0.95;0.00;17.10;10.85;5.10;0.11;0.65;0.00;79.53;0.00;0.00;0.00;0.00;321.87;182.43;35.71;11.35;1.04;0.03;213.74;3.76;0.00;0.34;0.42;0.00;0.00;16.53;25.48;19.90;9.50;1.12;0.24;0.10;0.00;19172480.00;7110400.00;423552.00;126692.00;2710372.00;1188940.00;36123.68;26920.20;
100 uE;Ohadii;20;6.65;0.93;0.69;1.04;0.52;0.00;0.00;841.56;11.57;0.00;0.00;0.00;0.00;2.34;0.52;0.53;14.72;22.85;18.46;8.11;3.29;0.00;0.14;13.64;16.69;19.35;12.58;5.47;6.22;0.10;0.00;28.01;30.68;11.97;3.74;296.26;11.12;1.09;0.39;0.09;703.15;38.50;0.00;0.00;0.00;166.41;33.79;31.84;8.76;3.54;0.71;0.00;43.40;26.49;48.11;10.81;6.97;1.80;0.05;46.58;20.82;23.80;11.66;6.05;0.15;0.21;41.08;1.02;0.60;0.06;0.00;0.00;14.80;3.46;2.66;0.97;1.71;0.00;8.79;7.38;4.58;0.35;1.21;0.49;150.06;0.00;0.00;0.01;0.00;164.87;146.57;100.88;61.40;10.48;2.96;192.82;17.72;5.05;1.85;0.62;0.00;0.00;13.12;33.46;48.72;42.62;18.77;7.32;1.24;0.53;11245800.00;7064480.00;2024700.00;851272.00;1512984.00;1639884.00;325332.80;141550.40;
100 uE;Ohadii;20;7.68;0.68;1.69;0.69;0.00;0.00;0.00;1352.62;7.92;0.00;2.72;0.00;0.59;3.11;0.26;0.26;21.18;25.44;23.37;10.15;1.20;0.35;0.16;15.67;19.99;26.17;24.93;16.72;4.27;5.46;0.44;31.07;30.17;8.21;2.30;328.28;9.56;1.31;0.92;0.26;715.96;45.55;0.00;0.00;0.00;162.99;31.01;37.75;7.74;3.99;1.37;0.00;29.21;13.52;31.00;7.67;4.90;0.06;0.05;44.49;0.00;23.45;11.60;4.69;0.65;0.40;54.04;3.28;0.00;0.00;0.00;0.00;4.55;1.99;3.70;1.50;1.51;0.25;5.19;4.79;3.13;2.93;0.61;0.00;54.03;0.00;0.00;0.00;0.00;101.83;140.39;85.25;64.47;13.68;2.77;237.09;19.17;5.84;1.74;0.48;0.22;0.00;2.53;3.23;4.22;4.02;2.70;0.69;0.88;0.07;5986800.00;3274788.00;879792.00;421720.00;450660.00;545832.00;173641.20;26377.20;
100 uE;Ohadii;20;7.81;1.68;1.15;0.49;0.40;0.00;0.00;900.72;9.68;0.00;0.00;0.00;0.00;2.41;0.57;0.00;13.55;19.65;18.73;8.69;2.20;0.50;0.00;10.51;5.98;12.80;16.32;8.71;0.66;0.00;0.00;36.52;46.13;11.91;4.33;343.58;13.60;1.43;0.16;0.23;705.08;46.27;0.00;3.49;0.44;193.02;36.32;44.43;6.66;3.78;0.12;0.31;40.68;27.40;45.38;12.44;9.37;1.30;0.36;35.27;13.30;14.87;6.62;1.97;0.35;0.02;30.44;0.98;0.13;0.00;0.00;0.00;12.26;6.99;2.37;1.57;3.27;0.00;10.71;9.36;6.20;2.98;0.13;0.00;60.97;0.68;0.00;0.00;0.00;191.38;258.24;142.24;67.77;8.05;4.74;246.00;16.99;3.69;0.32;0.00;0.00;0.00;11.91;34.22;54.46;44.80;17.64;10.06;1.85;0.37;13240400.00;8691280.00;1979556.00;887900.00;2462600.00;2366200.00;602920.00;181834.40;
100 uE;Ohadii;40;14.90;2.29;3.96;3.62;3.14;0.95;0.56;1131.26;7.73;0.80;0.00;0.00;0.00;3.85;1.33;1.97;24.52;23.32;35.75;32.39;24.81;8.56;4.49;13.10;7.87;17.07;33.36;24.57;25.85;6.21;2.78;38.36;45.15;29.17;21.48;466.30;36.10;17.45;8.50;5.82;907.25;85.34;15.36;4.92;2.21;222.18;43.44;83.14;32.73;34.53;11.40;6.32;44.13;27.53;68.83;51.56;46.10;18.22;7.30;36.52;19.43;29.76;28.36;24.86;10.49;3.70;65.12;2.35;0.00;0.00;0.00;0.00;9.44;3.61;3.87;0.34;6.69;0.77;4.29;5.41;10.97;7.67;4.07;0.40;110.50;0.00;0.03;0.00;0.00;129.31;172.19;191.24;182.16;79.14;38.62;300.57;30.98;31.87;13.14;11.57;4.17;1.76;8.08;28.68;65.94;96.40;85.71;64.40;30.06;11.18;12389880.00;10367720.00;5919960.00;4104160.00;2133684.00;3294332.00;1733128.00;1314064.00;
100 uE;Ohadii;40;13.95;1.35;3.72;4.12;3.04;1.24;0.21;1199.20;2.66;3.85;0.00;0.00;0.00;1.18;0.27;0.32;16.89;21.32;29.52;24.68;16.58;10.58;1.99;16.01;9.50;20.93;21.93;32.92;12.53;13.46;1.12;31.24;43.02;27.12;15.35;475.33;34.73;19.00;8.34;5.99;935.60;70.86;15.60;8.59;5.04;171.52;37.31;64.26;41.95;37.57;15.92;8.07;41.18;22.64;51.45;41.25;31.87;11.16;6.97;53.32;17.73;27.30;26.41;23.27;8.47;2.85;52.65;1.56;0.10;0.00;0.00;0.00;17.91;3.95;4.09;1.51;3.24;0.31;5.37;8.46;7.05;5.92;3.35;2.43;88.69;1.33;0.00;0.00;0.00;89.10;111.83;124.05;113.84;48.19;32.24;221.24;28.03;26.32;11.72;12.81;4.45;3.00;7.12;20.43;50.19;69.87;73.82;60.74;28.80;11.25;11548960.00;7371280.00;5387280.00;3779652.00;1184644.00;2034564.00;1181616.00;852160.00;
100 uE;Ohadii;40;14.42;1.82;3.84;3.87;3.09;1.10;0.39;1165.23;5.19;2.33;0.00;0.00;0.00;0.83;0.12;0.65;20.70;22.32;32.64;28.53;20.69;9.57;3.24;14.55;8.68;19.00;27.65;28.75;19.19;9.84;1.95;34.80;44.08;28.15;18.42;470.82;35.41;18.23;8.42;5.90;921.42;78.10;15.48;6.75;3.62;196.85;40.38;73.70;37.34;36.05;13.66;7.19;42.66;25.08;60.14;46.41;38.99;14.69;7.13;29.56;9.66;15.79;19.71;19.32;10.75;5.35;83.60;1.99;0.00;0.00;0.00;0.00;13.67;3.78;3.98;0.92;4.97;0.54;4.83;6.93;9.01;6.80;3.71;1.42;99.60;0.66;0.01;0.00;0.00;109.21;142.01;157.64;148.00;63.67;35.43;176.34;23.33;23.76;17.05;16.93;7.04;3.31;1.91;0.55;0.76;4.35;2.86;2.89;1.38;0.45;11969420.00;8869500.00;5653620.00;3941906.00;1659164.00;2664448.00;1457372.00;1083112.00;
3000 uE;Ohadii;0;55.09;0.00;0.00;0.00;0.00;0.00;0.00;2854.22;8.21;0.00;0.00;0.00;0.00;12.76;0.00;0.00;332.49;1.19;0.00;0.00;0.27;0.17;0.00;262.98;8.43;0.00;0.00;0.00;0.00;0.00;0.00;186.20;0.68;0.00;0.00;3725.67;2.95;0.00;0.00;0.00;2436.12;24.52;0.00;0.00;0.00;745.55;0.00;0.00;0.00;0.00;0.00;0.00;441.98;0.00;0.00;0.00;0.00;0.00;0.00;283.32;0.00;0.00;0.00;0.00;0.00;0.00;67.99;0.00;0.09;0.00;0.00;0.00;96.85;0.00;0.20;0.05;0.00;0.00;183.86;0.00;0.00;0.00;0.00;0.00;46.28;1.24;0.02;0.00;0.00;5142.03;73.89;0.00;0.00;0.00;0.00;371.56;0.00;0.00;0.00;0.00;0.00;0.00;477.23;0.10;0.00;0.00;0.00;0.00;0.00;0.00;127572800.00;103842.40;0.00;0.00;7556600.00;0.00;0.00;0.00;
3000 uE;Ohadii;0;24.77;0.00;0.08;0.00;0.00;0.00;0.00;2134.35;7.28;0.00;0.00;0.00;0.00;12.03;0.00;0.00;286.51;0.00;0.00;0.28;0.03;0.18;0.20;221.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;150.84;0.11;0.00;0.00;3437.23;9.33;0.00;0.00;0.00;1454.90;20.28;0.00;0.00;0.00;493.75;0.00;0.00;0.00;0.00;0.00;0.00;283.53;0.17;0.00;0.00;0.00;0.00;0.00;178.52;0.00;0.00;0.00;0.00;0.00;0.00;62.35;1.40;0.00;0.00;0.00;0.00;76.15;0.22;0.00;0.00;0.00;0.00;124.11;0.09;0.00;0.00;0.00;0.00;45.50;0.48;0.00;0.00;0.00;4600.51;37.02;0.00;0.00;0.45;0.12;217.82;0.00;0.00;0.00;0.00;0.00;0.00;273.18;1.68;0.00;0.00;0.00;0.00;0.00;0.23;109889200.00;365796.00;0.00;0.00;4088880.00;0.00;0.00;0.00;
3000 uE;Ohadii;0;35.86;0.00;0.00;0.00;0.00;0.00;0.00;3003.91;10.33;3.06;0.00;0.00;0.87;14.16;0.12;0.00;374.79;2.55;0.00;0.00;0.00;0.00;0.00;238.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;156.72;0.24;0.00;0.00;3102.75;4.55;0.00;0.21;0.00;1680.21;32.45;0.00;0.00;0.00;340.86;2.72;2.37;0.00;0.00;0.00;0.00;188.68;0.00;0.40;0.50;0.00;0.00;0.00;207.71;0.00;0.00;0.00;0.00;0.00;0.00;194.16;1.22;0.00;0.00;0.00;0.00;62.50;0.00;0.00;0.00;0.00;0.00;95.40;0.00;2.14;0.00;0.00;0.00;49.36;0.00;0.00;0.00;0.00;3548.02;0.00;0.00;0.00;0.00;0.00;211.65;0.00;0.00;0.00;0.00;0.00;0.00;38.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;57241200.00;230209.20;0.00;0.00;1121588.00;0.00;0.00;0.00;
3000 uE;Ohadii;5;31.35;4.37;1.35;0.12;0.00;0.00;0.00;2371.55;21.44;0.00;0.00;0.00;0.00;9.03;0.33;0.00;177.44;99.27;13.03;1.97;0.00;0.00;0.22;91.82;74.10;35.10;0.00;0.00;1.00;0.00;0.00;158.39;53.06;0.23;0.46;2695.25;14.01;0.00;0.00;0.07;1850.58;41.09;0.00;0.00;0.00;420.80;57.00;40.77;0.00;0.00;0.00;0.00;162.57;100.67;39.95;1.79;0.93;0.00;0.00;102.64;48.88;12.74;0.65;0.00;0.00;0.00;41.28;0.17;0.00;0.00;0.00;0.00;61.44;21.78;2.76;0.00;0.00;0.00;110.89;41.84;10.86;0.03;0.00;0.00;39.06;0.63;0.00;0.00;0.00;3981.76;1333.23;173.15;24.63;0.41;0.60;311.39;0.49;0.00;0.00;0.00;0.00;0.00;114.37;115.38;59.03;13.27;0.39;0.00;0.20;0.00;104510000.00;13810000.00;0.00;12436.32;3717444.00;944004.00;0.00;0.00;
3000 uE;Ohadii;5;29.78;4.33;0.29;0.00;0.00;0.00;0.00;2405.86;0.42;0.00;0.00;0.26;1.57;13.91;0.00;0.00;201.01;79.64;7.96;0.13;0.16;0.00;0.00;49.55;48.34;13.73;0.00;0.00;0.00;0.99;0.00;81.79;26.64;1.96;0.00;2262.26;20.48;0.00;0.00;0.00;1085.55;43.64;0.00;0.00;0.00;328.19;39.66;16.08;0.00;0.41;0.13;0.00;76.48;36.63;17.17;0.00;0.00;0.00;0.00;104.30;36.92;7.62;0.00;0.17;0.00;0.00;161.27;0.92;0.00;0.00;0.00;0.00;29.24;6.98;3.53;0.00;0.00;0.00;63.73;11.44;3.15;0.53;0.49;0.00;28.62;0.00;0.00;0.00;0.00;2614.53;424.49;30.36;5.66;0.34;0.52;195.63;0.03;0.00;0.00;0.00;0.00;0.00;7.99;7.80;2.21;0.00;0.00;0.00;0.16;0.00;31176840.00;4946040.00;0.00;0.00;719708.00;238860.00;0.00;0.00;
3000 uE;Ohadii;5;31.40;5.00;0.75;0.00;0.00;0.12;0.00;2212.73;2.13;0.00;0.00;0.00;0.00;10.37;0.37;0.00;286.48;104.75;21.18;0.00;0.14;0.18;0.00;83.97;58.85;16.81;5.07;0.58;0.00;0.00;0.00;128.32;46.64;1.12;0.00;3642.19;15.44;0.00;0.00;0.13;1532.72;27.64;0.00;0.00;0.00;473.54;92.97;31.42;0.03;0.49;0.00;0.00;176.20;80.77;0.00;2.96;1.02;0.00;0.00;115.28;43.26;11.52;0.00;0.00;0.00;0.00;128.96;4.38;0.00;0.13;0.00;0.00;71.68;13.06;2.00;0.00;1.09;0.00;128.47;33.73;8.57;1.12;0.33;0.26;44.56;0.00;0.00;0.00;0.00;4040.76;697.88;82.47;5.02;0.00;0.00;230.91;4.22;0.00;0.18;0.10;0.00;0.00;100.50;102.94;38.98;6.99;0.21;0.00;0.19;0.35;77932800.00;12414640.00;0.00;0.00;4390760.00;1852276.00;0.00;0.00;
