#fragment_ID	time (s)	mean	sd
rb15bpH_12345	5	0.72195,0.22622,0.03285,0.00974,0.00752,0.00173	0.12287,0.04806,0.02788,0.03855,0.00545,0.00448
rb15bpH_12345	10	0.58255,0.34397,0.05482,0.01240,0.00228,0.00398	0.12287,0.04806,0.02788,0.03855,0.00545,0.00448
rb15bpH_12345	20	0.38777,0.37029,0.15995,0.06543,0.01277,0.00379	0.12287,0.04806,0.02788,0.03855,0.00545,0.00448
rb15bpH_12345	40	0.33613,0.29326,0.20846,0.12235,0.03253,0.00726	0.12287,0.04806,0.02788,0.03855,0.00545,0.00448
ru5pDH_12345	0	0.99051,0.00949,0.00000,0.00000,0.00000,0.00000	0.17297,0.09396,0.11005,0.04246,0.12670,0.00569
ru5pDH_12345	5	0.89535,0.05550,0.01488,0.00000,0.03427,0.00000	0.17297,0.09396,0.11005,0.04246,0.12670,0.00569
ru5pDH_12345	10	0.65902,0.27743,0.06055,0.00300,0.00000,0.00000	0.17297,0.09396,0.11005,0.04246,0.12670,0.00569
ru5pDH_12345	20	0.46882,0.22958,0.18014,0.02934,0.08883,0.00329	0.17297,0.09396,0.11005,0.04246,0.12670,0.00569
ru5pDH_12345	40	0.50930,0.10905,0.18873,0.04672,0.14620,0.00000	0.17297,0.09396,0.11005,0.04246,0.12670,0.00569
s7pH_1234567	0	0.99482,0.00207,0.00310,0.00000,0.00000,0.00000,0.00000,0.00000	0.10882,0.13247,0.06642,0.03645,0.01979,0.06725,0.00556,0.00556
s7pH_1234567	5	0.62321,0.27505,0.09288,0.00885,0.00000,0.00000,0.00000,0.00000	0.10882,0.13247,0.06642,0.03645,0.01979,0.06725,0.00556,0.00556
s7pH_1234567	10	0.37498,0.33318,0.22283,0.05253,0.01647,0.00000,0.00000,0.00000	0.10882,0.13247,0.06642,0.03645,0.01979,0.06725,0.00556,0.00556
s7pH_1234567	20	0.18478,0.35358,0.27886,0.14286,0.03462,0.00427,0.00103,0.00000	0.10882,0.13247,0.06642,0.03645,0.01979,0.06725,0.00556,0.00556
s7pH_1234567	40	0.08189,0.22996,0.28091,0.18856,0.13283,0.08105,0.00481,0.00000	0.10882,0.13247,0.06642,0.03645,0.01979,0.06725,0.00556,0.00556
s17bpH_1234567	0	0.99859,0.00102,0.00039,0.00000,0.00000,0.00000,0.00000,0.00000	0.09978,0.13687,0.07482,0.08826,0.05904,0.05480,0.03450,0.03450
s17bpH_1234567	5	0.56227,0.26446,0.14595,0.01842,0.00890,0.00000,0.00000,0.00000	0.09978,0.13687,0.07482,0.08826,0.05904,0.05480,0.03450,0.03450
s17bpH_1234567	10	0.34002,0.35288,0.22140,0.06439,0.01449,0.00545,0.00137,0.00000	0.09978,0.13687,0.07482,0.08826,0.05904,0.05480,0.03450,0.03450
s17bpH_1234567	20	0.16442,0.34364,0.27915,0.13448,0.05354,0.02125,0.00352,0.00000	0.09978,0.13687,0.07482,0.08826,0.05904,0.05480,0.03450,0.03450
s17bpH_1234567	40	0.12515,0.24509,0.15851,0.24507,0.09933,0.09655,0.03029,0.00000	0.09978,0.13687,0.07482,0.08826,0.05904,0.05480,0.03450,0.03450
malLC_1234	0	1.00000,0.00000,0.00000,0.00000,0.00000	0.03198,0.02900,0.02167,0.00867,0.00374
malLC_1234	5	0.97794,0.02151,0.00000,0.00000,0.00055	0.03198,0.02900,0.02167,0.00867,0.00374
malLC_1234	10	0.93847,0.05847,0.00217,0.00060,0.00029	0.03198,0.02900,0.02167,0.00867,0.00374
malLC_1234	20	0.86914,0.10304,0.02335,0.00125,0.00321	0.03198,0.02900,0.02167,0.00867,0.00374
malLC_1234	40	0.83772,0.09961,0.04202,0.01695,0.00370	0.03198,0.02900,0.02167,0.00867,0.00374
malLM_1234	0	1.00000,0.00000,0.00000,0.00000,0.00000	0.03198,0.02900,0.02167,0.00867,0.00374
malLM_1234	5	0.97794,0.02151,0.00000,0.00000,0.00055	0.03198,0.02900,0.02167,0.00867,0.00374
